2009,0.3930968360498562
2004,0.3814147018030513
1998,0.378698224852071
2013,0.3776923076923077
2005,0.377431906614786
2012,0.375
2006,0.37400228050171036
2000,0.37316176470588236
2001,0.37268128161888703
2007,0.3658008658008658
2008,0.3595959595959596
2010,0.354806739345887
1997,0.35445544554455444
1996,0.35434782608695653
2011,0.3512773722627737
2016,0.34802939211756845
2002,0.34542586750788645
2014,0.34465086483023705
2003,0.34308943089430893
1992,0.34097421203438394
2015,0.3388049901510177
1915,0.3333333333333333
1995,0.33254716981132076
1999,0.322265625
1993,0.3074866310160428
1994,0.29453681710213775
1991,0.28493150684931506
1984,0.28440366972477066
2017,0.2836279784780938
1990,0.2833333333333333
1986,0.28
2019,0.2669172932330827
2018,0.2642679900744417
1975,0.25471698113207547
1973,0.2545931758530184
1983,0.2516778523489933
1988,0.25116279069767444
1985,0.25
1921,0.25
1987,0.24623115577889448
1978,0.2435064935064935
1982,0.24203821656050956
1927,0.2391304347826087
1922,0.23809523809523808
1931,0.22556390977443608
1989,0.22020725388601037
1976,0.2134502923976608
1932,0.21084337349397592
1979,0.20655737704918034
1974,0.20391061452513967
1981,0.20376175548589343
1977,0.2037037037037037
1972,0.2004950495049505
1933,0.19875776397515527
1980,0.19817073170731708
1970,0.19726027397260273
1971,0.19704433497536947
1968,0.19637462235649547
1928,0.18867924528301888
1967,0.18275862068965518
1956,0.1825726141078838
1969,0.17757009345794392
1960,0.17674418604651163
1925,0.17647058823529413
1930,0.17525773195876287
1957,0.17454545454545456
1935,0.1744186046511628
1962,0.17333333333333334
1961,0.16981132075471697
1963,0.16822429906542055
1916,0.16666666666666666
1918,0.16666666666666666
1954,0.1650943396226415
1965,0.16044776119402984
1955,0.15948275862068967
1929,0.15853658536585366
1958,0.1522633744855967
1966,0.15
1964,0.14760147601476015
1941,0.14583333333333334
1959,0.14345991561181434
1951,0.13215859030837004
1949,0.13106796116504854
1953,0.1306122448979592
1950,0.12946428571428573
1945,0.12804878048780488
1947,0.12790697674418605
1934,0.12574850299401197
1936,0.12299465240641712
1920,0.11764705882352941
1940,0.11518324607329843
1938,0.11494252873563218
1946,0.11494252873563218
1944,0.11377245508982035
1917,0.1111111111111111
1939,0.10106382978723404
1919,0.1
1952,0.09251101321585903
1937,0.0918918918918919
1914,0.09090909090909091
1943,0.0847457627118644
1948,0.08333333333333333
1924,0.07142857142857142
1942,0.0673076923076923
1926,0.0625
1923,0.05555555555555555
1913,0.0
2022,0.0
1912,0.0
2021,0.0
2024,0.0
1911,0.0
1906,0.0
\N,0.0
